Domain Name,Sub Domain Name,Product Type Name,Product Type Code,Product Name,Herbal/ Ayurvedic,Fssai No,Preservatives (details),Ready To Cook (y/n),Scented/ Flavour,Rice Grain Type,Baby Weight,Absorption Duration (in Hrs),Brand,Pack Quantity,Mineral Source,Capacity,Product Quantity,Upc / Ean,Manufacturer,Customer Care Contact,Flavours & Spices,Recommended Age,Mrp,Country Of Origin,Preservatives (y/n),Product - Unit Of Measurement,Ready To Eat (y/n),Product Description,Net Quantity,Theme/ Occasion Type,Hair Type,Caffeine Content,Source,Uploaded On,Updated On,Image 1 Filename,Image 2 Filename,Image 3 Filename,Image 4 / Video 1 Filename,Image 5 / Video 2 Filename
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"O'Cean Energy One8 Energy Drink, Classic Natural Caffeine, 330 Ml Can",,11515006000531,-,,,,,,O'Cean Energy,Pack of 1,-,330 ml,330,8908001658386.0,Pushpam Foods & Beverages Pvt. Ltd,-,-,-,75.0,India,-,ml,,"Ocean One8 Classic Natural Caffeine, Ocean One8 vitalizes the body to give you energy on the go, it increases performance, concentration, vigilance and metabolism. Its natural caffeine gives you a natural boost, unlike synthetic caffeine. This drink will refresh you and lift up your mood instantly. It has no artificial flavours for a positive boost of energy that is purely invigorating. Virat approves.",330 ml,,,-,Polestarre,,,Image_1_8908001658386.0.jpg,Image_2_8908001658386.0.jpg,Image_3_8908001658386.0.jpg,Image_4_8908001658386.0.jpg,Image_5_8908001658386.0.jpg
Retail,Grocery,Health Drinks,RET10-101C,"Horlicks Diabetes Plus Vanilla, Helps Manage Blood Sugar, 400 G Jar",,10013022001897,-,,,,,,Horlicks,Pack of 1,-,400 gm,400,8901030834691.0,Unilever,-,-,-,720.0,India,-,gm,,Horlicks Diabetes Plus is a nutritional beverage which has been designed for Indian adults. It is scientifically formulated to support dietary management of at risk and diabetic individuals. It contains high fibre22 of dual blend fibre - Fibersol-2 and Nutriose .Research has shown that diet rich in fibre helps reduce glucose and lipids in blood. Horlicks Diabetes Plus is high in protein and contains 16 vital nutrients. These fibres are known to promote satiety and reduce calorie intake. Soluble dietary fibre taken as a part of diet contributes to reduction of blood cholesterol levels. The beneficial effect is obtained with daily intake of minimum 3 g of soluble dietary fibre. Horlicks Diabetes Plus is not intended to replace any existing medication. It is a nutritional beverage to be consumed as a part of balanced daily diet and exercise. Journal of Diabetes and Metabolism2020 Feb112841. NUTRIOSE is a registered trademark of Roquette Frres NUTRIOSE and Fibersol-2 are trade names for Wheat fibre dextrin Corn fibre dextrin respectively. HORLICKS DIABETES PLUS CONTAINS ARTIFICIAL SWEETNER AND FOR CALORIE CONCIOUS. FOOD FOR SPECIAL DIETARY USE-Food for helping manage blood glucose. CONTAINS NATURALLY OCCURING SUGARS. Contains Dietary Fibre Dextrin-Wheat Corn This contains Acesulfame Potassium. Not recommended for children. No sugar added in the product. CONTAINS ADDED FLAVOURNATURE-IDENTICAL FLAVOURING SUBSTANCES,400 gm,,,-,Polestarre,,,Image_1_8901030834691.0.jpg,Image_2_8901030834691.0.jpg,Image_3_8901030834691.0.jpg,Image_4_8901030834691.0.jpg,Image_5_8901030834691.0.jpg
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Red Bull Energy Drink The Summer Edition - Apricot-Strawberry Flavour, 250 ml",,10012022000719,-,,,,,,Red Bull,Pack of 1,-,250 ml,250,40293773.0,Red Bull GmbH,-,-,-,125.0,India,-,ml,,"Red Bull Summer Edition's special formula contains ingredients of high quality: Caffeine, Taurine, B-Group Vitamins, Sugars, water One 250ml can of Red Bull Summer Edition contains 75mg of caffeine, about the same amount as in a cup of home-brewed coffee. The amount of sugars in a can of Red Bull Summer Edition is comparable to the level of sugars in an equivalent amount of apple or orange juice - 11g per 100ml. For sugar free options, try Red Bull Sugarfree Red Bull cans are made of 100% recyclable aluminium The new limited Red Bull Summer Edition with the taste of Apricot- Strawberry Vitalizes Body and Mind",250 ml,,,-,Polestarre,,,Image_1_40293773.0.jpg,Image_2_40293773.0.jpg,Image_3_40293773.0.jpg,,
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Red Bull Energy Drink - Sugar Free, 250 ml Can",,10012022000719,-,,,,,,Red Bull,Pack of 1,-,250 ml,250,90162800.0,Red Bull GmbH,-,-,-,125.0,India,-,ml,,"Wiiings without sugar: Red Bull Sugarfree is Red Bull Energy Drink without sugarRed Bull Sugarfree is a functional beverage and its formula contains high-quality ingredients: Caffeine, Taurine, some B-group Vitamins and Alpine waterOnly 8 calories in a 250 ml can of Red Bull SugarfreeVitalizes Body and Mind®Red Bull cans are made of 100% recyclable aluminiumRed Bull is appreciated worldwide by top athletes, busy professionals, university students and travellers on long journeys.Red Bull produces a variety of energy drinks in both sugar and sugar free varieties.",250 ml,,,-,Polestarre,,,Image_1_90162800.0.jpg,Image_2_90162800.0.jpg,Image_3_90162800.0.jpg,,
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Glucon-D Instant Energy Health Drink - Tangy Orange, 400 g Jar",,10014051000865,-,,,,,,Glucon-D,Pack of 1,-,400 gm,400,40169417.0,Zydus Wellness Products Ltd.,-,-,-,195.0,India,-,gm,,"Glucon-D Instant Energy Health Drink contains 99.4% of glucose that helps replenish body glucose and fills you with the energy required to stay active. It comes in a variety of flavours like nimbu, tangy orange and regular. It is easily absorbed by the body, thus giving out an instant energy boost and refreshment. Enriched with Vitamin-D and Minerals, including Calcium and Phosphorus, this glucose drink helps you charge up to fight tiredness and supports immunity. Add Glucon-D to a glass of water every day to provide growing active children with the energy that keeps them going and acts as a refreshment after a long day.",400 gm,,,-,Polestarre,,,Image_1_40169417.0.jpg,Image_2_40169417.0.jpg,Image_3_40169417.0.jpg,,
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Glucon-D Instant Energy Health Drink - Regular, 1 kg Refill",,10020021005270,-,,,,,,Glucon-D,Pack of 1,-,1 Kg,1,40169416.0,Zydus Wellness Products Ltd.,-,-,-,215.0,India,-,Kg,,"Glucon-D Instant Energy Health Drink contains 99.4% of the glucose that helps replenish body glucose and fills you with the energy required to stay active. It comes in a variety of flavours like nimbu, tangy orange and regular. It is easily absorbed by the body, thus giving out an instant energy boost and refreshment. Enriched with Vitamin-D and Minerals, including Calcium and Phosphorus, this glucose drink helps you charge up to fight tiredness and supports immunity. Add Glucon-D to a glass of water every day to provide growing active children with the energy that keeps them going and acts as a refreshment after a long day.",1 Kg,,,-,Polestarre,,,Image_1_40169416.0.jpg,Image_2_40169416.0.jpg,Image_3_40169416.0.jpg,,
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Gatorade Orange Bolt, 500 ml",,10012022000088,-,,,,,,Gatorade,Pack of 1,-,500 ml,500,40314319.0,PepsiCo India Holdings Pvt. Ltd.,-,-,-,50.0,India,-,ml,,"Quench your thirst and elevate your beverage experience with Gatorade Sports & Energy Drinks range, a refreshing line of drinks that combines exceptional taste with nourishing goodness. Whether you're seeking hydration, energy, or simply a delightful treat, our beverages are crafted to cater to your diverse needs.",500 ml,,,-,Polestarre,,,Image_1_40314319.0.jpg,Image_2_40314319.0.jpg,Image_3_40314319.0.jpg,,
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Gatorade Sports Drink, Blue Bolt Flavour, 500 Ml",,10012022000088,-,,,,,,Gatorade,Pack of 1,-,500 ml,500,8902080534043.0,PepsiCo India Holdings Pvt. Ltd.,-,-,-,50.0,India,-,ml,,"Gatorade is a scientifically formulated sports drink with fluids, electrolytes (mineral salts), carbohydrates and flavour, that helps you to Rehydrate, Replenish and Refuel. It helps to restore fluids, Electrolytes and energy that you lose in sweat during exercise.",500 ml,,,-,Polestarre,,,Image_1_8902080534043.0.jpg,Image_2_8902080534043.0.jpg,Image_3_8902080534043.0.jpg,Image_4_8902080534043.0.jpg,Image_5_8902080534043.0.jpg
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Gatorade Sports Drink, Orange Flavour, 500 Ml",,10012022000088,-,,,,,,Gatorade,Pack of 1,-,500 ml,500,8902080524044.0,PepsiCo India Holdings Pvt. Ltd.,-,-,-,50.0,India,-,ml,,"Gatorade is a scientifically formulated sports drink with fluids, electrolytes (mineral salts), carbohydrates and flavor, that helps you to Rehydrate, Replenish and Refuel. It helps to restore fluids, Electrolytes and energy-that you lose in sweat during exercise.",500 ml,,,-,Polestarre,,,Image_1_8902080524044.0.jpg,Image_2_8902080524044.0.jpg,Image_3_8902080524044.0.jpg,Image_4_8902080524044.0.jpg,Image_5_8902080524044.0.jpg
Retail,Grocery,Sports & Energy Drinks,RET10-101B,"Sting Energy Drink, 250 Ml Bottle",,10012043000072,-,,,,,,Sting,Pack of 1,-,250 ml,250,8902080000227.0,Varun Beverages Ltd,-,-,-,20.0,India,-,ml,,"Sting energy drink gives you an energy boost to charge up and keeps you going. It also invigorates your taste buds with its refreshingly delicious flavour. Sting has the kick of Caffeine, Ginseng and B Vitamins with amazingly refreshing flavours. Not recommended for children, people sensitive to caffeine, pregnant or breastfeeding women. Consume no more than 500 ml per day.",250 ml,,,-,Polestarre,,,Image_1_8902080000227.0.jpg,Image_2_8902080000227.0.jpg,Image_3_8902080000227.0.jpg,Image_4_8902080000227.0.jpg,Image_5_8902080000227.0.jpg
